glacier_id,lat,lon,area_km2,prec_mean,temp_mean,srad_mean
RGI2000-v7.0-I-14-00001,32.262205915951064,76.47855958977568,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00002,32.26023080966375,76.48056926641205,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00003,32.25857984800919,76.4821823691887,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00004,32.255731865279984,76.48356301886251,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00005,32.2540875965,76.48830025500001,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00006,32.25511032674909,76.48887942016019,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00007,32.254832952553066,76.49051135908553,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00008,32.257218,76.4892415,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00009,32.2586055,76.4896235,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00010,32.2597705,76.49017,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00011,32.25076809299496,76.48414536992621,2.5743688307231127,63.25,-0.28133345,16031.0
RGI2000-v7.0-I-14-00012,32.24868764914331,76.48694044696524,2.5743688307231127,105.75,5.111666,16066.5
RGI2000-v7.0-I-14-00013,32.243693131700056,76.49103806080379,2.5743688307231127,105.75,5.111666,16066.5
RGI2000-v7.0-I-14-00014,32.23662110152188,76.51065445128545,2.5743688307231127,85.5,2.7083337,16032.416666666666
RGI2000-v7.0-I-14-00015,32.35199333294408,76.65043465439945,2.5743688307231127,51.583333333333336,-1.7436665,15846.0
RGI2000-v7.0-I-14-00016,32.380655872751746,76.66145972630333,2.5743688307231127,52.333333333333336,-1.4380001,15998.5
RGI2000-v7.0-I-14-00017,32.54133320866406,76.71758178426307,2.5743688307231127,48.416666666666664,-0.46966672,15787.333333333334
RGI2000-v7.0-I-14-00018,32.554917474954,76.74451579024937,2.5743688307231127,40.0,-4.09,15645.083333333334
RGI2000-v7.0-I-14-00019,32.5544374925,76.74694300550001,2.5743688307231127,40.0,-4.09,15645.083333333334
RGI2000-v7.0-I-14-00020,32.56622194060451,76.70600775769935,2.5743688307231127,41.583333333333336,-3.419667,15766.666666666666
RGI2000-v7.0-I-14-00021,32.56602965186555,76.70540533411136,2.5743688307231127,41.583333333333336,-3.419667,15766.666666666666
RGI2000-v7.0-I-14-00022,32.563058528070776,76.67594484359599,2.5743688307231127,41.583333333333336,-3.419667,15766.666666666666
RGI2000-v7.0-I-14-00023,32.57841943634827,76.6384032833291,2.5743688307231127,45.666666666666664,-2.3586664,15761.583333333334
RGI2000-v7.0-I-14-00024,32.573505323477846,76.62966377035887,2.5743688307231127,45.666666666666664,-2.3586664,15761.583333333334
RGI2000-v7.0-I-14-00025,32.5739534537916,76.62575414586388,2.5743688307231127,45.666666666666664,-2.3586664,15761.583333333334
RGI2000-v7.0-I-14-00026,32.5704595,76.6277035,2.5743688307231127,45.666666666666664,-2.3586664,15761.583333333334
RGI2000-v7.0-I-14-00027,32.568344,76.62870050000001,2.5743688307231127,45.666666666666664,-2.3586664,15761.583333333334
RGI2000-v7.0-I-14-00028,32.598382731813814,76.5914669143761,2.5743688307231127,43.166666666666664,-3.3539994,15753.083333333334
RGI2000-v7.0-I-14-00029,32.598772233839384,76.59047107218299,2.5743688307231127,43.166666666666664,-3.3539994,15753.083333333334
RGI2000-v7.0-I-14-00030,32.6154457009666,76.59777084750989,2.5743688307231127,43.166666666666664,-3.3539994,15753.083333333334
RGI2000-v7.0-I-14-00031,32.615058033865495,76.5999358928373,2.5743688307231127,43.166666666666664,-3.3539994,15753.083333333334
RGI2000-v7.0-I-14-00032,32.62457012411452,76.59846050099661,2.5743688307231127,43.166666666666664,-3.3539994,15753.083333333334
RGI2000-v7.0-I-14-00033,32.670005466866826,76.52296272274451,2.5743688307231127,50.916666666666664,-0.83599997,15946.333333333334
RGI2000-v7.0-I-14-00034,32.65966753288813,76.44077029268831,2.5743688307231127,46.083333333333336,-3.0726664,15745.166666666666
RGI2000-v7.0-I-14-00035,32.6464254792871,76.41873546814956,2.5743688307231127,46.083333333333336,-3.0726664,15745.166666666666
RGI2000-v7.0-I-14-00036,32.65225508484993,76.41333249617206,2.5743688307231127,68.08333333333333,1.5763334,15995.916666666666
RGI2000-v7.0-I-14-00037,32.75170344500856,76.39221206250116,2.5743688307231127,68.25,3.0823336,16132.916666666666
RGI2000-v7.0-I-14-00038,32.84253240224302,76.36502558064625,2.5743688307231127,49.916666666666664,-0.7886665,15863.833333333334
RGI2000-v7.0-I-14-00039,32.843522608878864,76.36282151199146,2.5743688307231127,49.916666666666664,-0.7886665,15863.833333333334
RGI2000-v7.0-I-14-00040,32.84472399790145,76.3659864904617,2.5743688307231127,49.916666666666664,-0.7886665,15863.833333333334
RGI2000-v7.0-I-14-00041,32.84691085956122,76.3664051947792,2.5743688307231127,49.916666666666664,-0.7886665,15863.833333333334
RGI2000-v7.0-I-14-00042,32.84486687297505,76.36953253445797,2.5743688307231127,49.916666666666664,-0.7886665,15863.833333333334
RGI2000-v7.0-I-14-00043,32.85361621889373,76.37995261967876,2.5743688307231127,53.0,1.053,15918.0
RGI2000-v7.0-I-14-00044,32.90558260060203,76.380737847617,2.5743688307231127,49.583333333333336,0.6553334,15914.333333333334
