basin,year,melt_category,z_score,flood_risk_index,flood_risk_level
Himalayas,2022,Extreme Melt,2.5127456563347947,1.0,High Risk
Himalayas,2006,Extreme Melt,2.285133126085076,0.96429477178024,High Risk
Himalayas,2024,High Melt,1.9044170542832315,0.7845724260214122,High Risk
Himalayas,2004,Normal,0.7860333297187575,0.4891332879430771,Moderate Risk
Himalayas,2023,Normal,0.5270576211302459,0.44850816608189487,Low Risk
Himalayas,2003,Normal,0.4933692512500582,0.4432235232126991,Low Risk
Himalayas,2018,Normal,0.2749513119293816,0.40896063635766366,Low Risk
Himalayas,2008,Normal,0.2720562607239071,0.40850649411915885,Low Risk
Himalayas,2012,Normal,0.2189161134751441,0.4001704807939387,Low Risk
Himalayas,2017,Normal,-0.0334116126263995,0.3605882177403878,Low Risk
Himalayas,2001,Normal,-0.0375990301660779,0.35993134397890547,Low Risk
Himalayas,2007,Normal,-0.1107555543236423,0.34845539233448386,Low Risk
Himalayas,2019,Normal,-0.2919058695861481,0.32003862045714904,Low Risk
Himalayas,2021,Normal,-0.3151514708527536,0.31639211867001504,Low Risk
Himalayas,2014,Normal,-0.3879139884879982,0.30497797422392336,Low Risk
Himalayas,2002,Normal,-0.4481731182146078,0.2955252170455194,Low Risk
Himalayas,2015,Normal,-0.5656126214470016,0.2771026624509749,Low Risk
Himalayas,2020,Normal,-0.6692056242841664,0.26085218711812236,Low Risk
Himalayas,2009,Normal,-0.6742552127031985,0.260060065934286,Low Risk
Himalayas,2016,Normal,-0.6872596717979004,0.2580200763988178,Low Risk
Himalayas,2013,Normal,-0.8398894038909179,0.23407728462227087,Low Risk
Himalayas,2010,Normal,-0.8553787080853297,0.23164750125041522,Low Risk
Himalayas,2005,Normal,-0.9804713260210428,0.21202441430040586,Low Risk
Himalayas,2000,Low Melt,-1.065581638290055,0.11867329026480866,Low Risk
Himalayas,2011,Low Melt,-1.3121148741533517,0.08000000000000002,Low Risk
